pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,Alert
122830,557.0,12973.94029,AGO,Angola,Cuando Cubango,2.447762898,0.0,0.41,0.82,
122855,571.0,9833.225127,AGO,Angola,Cuando Cubango,0.501116051,0.0,0.41,0.82,Information
122860,576.0,7871.361223,AGO,Angola,Cuando Cubango,1.011191271,0.0,0.41,0.82,Information
122870,577.0,9774.207547,AGO,Angola,Moxico,0.044503357,0.0,0.41,0.82,Information
122880,578.0,10137.4677,AGO,Angola,Moxico,0.298576538,0.0,0.41,0.82,Advisory
122924,592.0,12913.04625,AGO,Angola,Moxico,2.101755102,0.0,0.41,0.82,
122926,594.0,4807.267661,AGO,Angola,Moxico,0.927754082,0.0,0.41,0.82,Information
122929,597.0,7917.189616,AGO,Angola,Moxico,1.33582588,0.0,0.41,0.82,
122944,602.0,5506.9828,AGO,Angola,Moxico,0.208932007,0.0,0.41,0.82,Information
122970,618.0,27994.26055,AGO,Angola,Moxico,2.265317087,0.0,0.41,0.82,
129910,1047.0,18007.29609,AGO,Angola,Cuando Cubango,2.13065228,0.0,0.41,0.82,
131833,1083.0,1191.270062,AGO,Angola,Cuanza Sul,0.249283062,0.0,0.41,0.82,
131834,1084.0,6298.936657,AGO,Angola,Cuanza Sul,1.022821445,0.0,0.41,0.82,
131836,1086.0,4428.288727,AGO,Angola,Malanje,0.599622264,0.0,0.41,0.82,
131837,1087.0,1190.306305,AGO,Angola,Cuanza Sul,2.339321499,0.0,0.41,0.82,
131870,1093.0,23410.31637,AGO,Angola,Big,0.801721438,0.0,0.41,0.82,
131909,1104.0,7526.184583,AGO,Angola,Zaire,3.955918814,0.0,0.41,0.82,
132160,1110.0,14366.52332,AGO,Angola,Uíge,3.585193136,0.0,0.41,0.82,
132246,1130.0,20084.87926,AGO,Angola,Uíge,0.481260091,0.0,0.41,0.82,
132247,1131.0,48890.99818,AGO,Angola,Malanje,2.463699171,0.0,0.41,0.82,
124402,667.0,9196.829245,ZAF,South Africa,Limpopo,1.237854392,0.0,0.63,0.51,Information
124404,669.0,13794.01071,ZAF,South Africa,Limpopo,1.022599762,0.0,0.63,0.51,
124405,670.0,12375.51601,ZAF,South Africa,Limpopo,0.408297818,0.0,0.63,0.51,
124406,671.0,7158.863954,ZAF,South Africa,Limpopo,2.184012744,0.0,0.63,0.51,
124407,672.0,12239.18462,ZAF,South Africa,Limpopo,0.845320813,0.0,0.63,0.51,
124409,674.0,16634.78845,ZAF,South Africa,Mpumalanga,0.506016859,0.0,0.63,0.51,
124503,677.0,7807.088991,ZAF,South Africa,Limpopo,1.000075425,0.0,0.63,0.51,
124505,679.0,6550.564871,ZAF,South Africa,Limpopo,0.633820468,0.0,0.63,0.51,
124920,688.0,16083.27468,ZAF,South Africa,Limpopo,0.636689938,0.0,0.63,0.51,
124936,694.0,8370.019238,ZAF,South Africa,Limpopo,1.874448648,0.0,0.63,0.51,Information
124990,703.0,29614.053,ZAF,South Africa,North West,1.101971693,0.0,0.63,0.51,Information
125208,712.0,10506.17306,ZAF,South Africa,Mpumalanga,0.760613612,0.0,0.63,0.51,Information
125209,713.0,11253.2059,ZAF,South Africa,Mpumalanga,1.80375106,0.0,0.63,0.51,Information
125520,725.0,29260.54115,ZAF,South Africa,KwaZulu-Natal,2.315624172,0.0,0.63,0.51,Information
125536,731.0,19946.75371,ZAF,South Africa,Eastern Cape,1.090596392,0.0,0.63,0.51,
125540,735.0,20567.74115,ZAF,South Africa,Eastern Cape,1.686258078,0.0,0.63,0.51,
125550,736.0,8015.11544,ZAF,South Africa,Eastern Cape,3.884883016,0.0,0.63,0.51,
125561,737.0,3408.307162,ZAF,South Africa,Eastern Cape,1.183468143,0.0,0.63,0.51,
125563,739.0,1477.593474,ZAF,South Africa,Eastern Cape,2.023600362,0.0,0.63,0.51,
125565,741.0,3042.256589,ZAF,South Africa,Eastern Cape,2.923416922,0.0,0.63,0.51,
125567,743.0,4216.74424,ZAF,South Africa,Eastern Cape,3.14377719,0.0,0.63,0.51,
125580,747.0,21371.1497,ZAF,South Africa,Eastern Cape,1.781725129,0.0,0.63,0.51,
125603,751.0,6068.370135,ZAF,South Africa,Eastern Cape,1.730311787,0.0,0.63,0.51,
125801,758.0,1667.739061,ZAF,South Africa,Western Cape,2.19212521,0.0,0.63,0.51,
125802,759.0,13319.49931,ZAF,South Africa,Western Cape,2.489927196,0.0,0.63,0.51,
125805,762.0,2599.473715,ZAF,South Africa,Western Cape,2.627458727,0.0,0.63,0.51,
126043,774.0,10127.21166,ZAF,South Africa,Western Cape,3.363239066,0.0,0.63,0.51,
126060,782.0,4750.562508,ZAF,South Africa,Northern Cape,2.668977716,0.0,0.63,0.51,
126090,785.0,5930.359607,ZAF,South Africa,Northern Cape,3.974986627,0.0,0.63,0.51,
127410,808.0,20507.0933,ZAF,South Africa,Northern Cape,2.380898994,0.0,0.63,0.51,
127420,809.0,5373.996058,ZAF,South Africa,Northern Cape,0.434467862,0.0,0.63,0.51,Watch
127443,822.0,8030.211184,ZAF,South Africa,Northern Cape,0.551801892,0.0,0.63,0.51,
127500,858.0,2300.659374,ZAF,South Africa,Northern Cape,3.330866404,0.0,0.63,0.51,
127604,862.0,23982.73053,ZAF,South Africa,Northern Cape,1.119030762,0.0,0.63,0.51,Advisory
127607,865.0,7482.474636,ZAF,South Africa,Northern Cape,1.622808486,0.0,0.63,0.51,
127701,869.0,8709.568633,ZAF,South Africa,Northern Cape,4.006024553,0.0,0.63,0.51,
127704,872.0,6772.607036,ZAF,South Africa,Northern Cape,0.238057257,0.0,0.63,0.51,Advisory
127705,873.0,7800.643448,ZAF,South Africa,Northern Cape,2.572836934,0.0,0.63,0.51,
127706,874.0,32801.86074,ZAF,South Africa,Northern Cape,1.26682366,0.0,0.63,0.51,Watch
127709,877.0,1395.804181,ZAF,South Africa,Northern Cape,2.367153941,0.0,0.63,0.51,
127801,878.0,14302.52363,ZAF,South Africa,Northern Cape,1.954371881,0.0,0.63,0.51,
127803,880.0,10692.17038,ZAF,South Africa,Eastern Cape,2.349121916,0.0,0.63,0.51,
127804,881.0,21999.45462,ZAF,South Africa,Free State,2.132937332,0.0,0.63,0.51,Information
127805,882.0,6119.767222,ZAF,South Africa,Eastern Cape,3.47690784,0.0,0.63,0.51,
127921,888.0,3997.67989,ZAF,South Africa,Northern Cape,2.222683038,0.0,0.63,0.51,
127922,889.0,13918.75598,ZAF,South Africa,Free State,0.689288439,0.0,0.63,0.51,
127923,890.0,7748.814494,ZAF,South Africa,Free State,1.331024996,0.0,0.63,0.51,Information
127930,897.0,6306.397231,ZAF,South Africa,Northern Cape,1.574112762,0.0,0.63,0.51,
127941,898.0,4489.703297,ZAF,South Africa,Northern Cape,0.591426232,0.0,0.63,0.51,Information
127943,900.0,3591.377172,ZAF,South Africa,North West,0.910748367,0.0,0.63,0.51,Information
127945,902.0,5309.559143,ZAF,South Africa,North West,2.195217021,0.0,0.63,0.51,Information
