Point No,Station,Basin,Country,Lat,Lon,Upstream area,Forecast Date,max_EPS,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_level,Days_until_peak,pfaf_id
1377,Senegal A Matam -Donnee Reconstituee-,Senegal,Senegal,15.625,-13.225,348320.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146350
1378,Khartoum,Nile,Sudan,15.625,32.525,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172410
1379,Khai Chira Prawat,Chao Phraya,Thailand,15.625,100.075,110569.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,443063
1406,Wat Pho Ngam  Ban Re Rai,Chao Phraya,Thailand,15.175,100.175,120693.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,443063
1436,Ban Bang Kaeo 1,Chao Phraya,Thailand,14.575,100.425,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,6,443063
1380,Na,Coastal,Philippines,15.625,120.525,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,8,524094
1391,Na,Not found,Not found,15.375,120.475,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,8,524094
1382,Na,Nile,Sudan,15.525,32.475,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172510
1396,Jebal Aulia Dam,Nile,Sudan,15.325,32.475,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172510
1424,Na,Nile,Sudan,14.775,32.275,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172510
1384,Morales,Motagua,Guatemala,15.475,-88.825,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753718
1407,Gualan,Motagua,Guatemala,15.125,-89.325,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753718
1410,Chiche,Not found,Not found,14.975,-91.075,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753718
1414,Puente Orellana,Motagua,Guatemala,14.925,-90.025,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753718
1416,Concua Ii,Motagua,Guatemala,14.875,-90.625,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,753718
1417,Panajax,Motagua,Guatemala,14.875,-90.375,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,753718
1420,Petapilla,Motagua,Guatemala,14.825,-89.525,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,753718
1421,Camotan,Motagua,Guatemala,14.825,-89.375,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753718
1427,Vado Hondo,Not found,Not found,14.725,-89.525,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753718
1385,Oollenur,Krishna,India,15.475,76.725,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,453645
1386,Cuilco,Usumacinta,Guatemala,15.425,-91.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753629
1388,Akka,Niger,Mali,15.425,-4.275,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,142790
1439,Na,Niger,Mali,14.525,-4.225,281600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,142790
1389,Ban Bung Bao,Mekong,Thailand,15.425,103.025,23200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,442645
1397,Satuk,Mekong,Thailand,15.325,103.275,26800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,442645
1390,Khong Chiam  Ban Dan,Mekong,Thailand,15.375,105.475,419000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,442710
1394,El Tablon,Coastal,Honduras,15.325,-88.225,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,753719
1401,La Vegona,Coastal,Honduras,15.225,-88.525,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,753719
1395,Santiago,Ulua,Honduras,15.325,-87.925,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753720
1408,Chinda,Ulua,Honduras,15.125,-88.175,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,753720
1398,Rasi Salai,Mekong,Thailand,15.325,104.125,44600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,442641
1403,Ubon,Mekong,Thailand,15.225,104.825,104000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,442630
1404,Kaeng Saphu Tai  Downstream,Mekong,Thailand,15.225,105.275,116000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,442610
1411,Girba Dam,Nile,Sudan,14.975,35.925,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,172250
1412,An Chi,Coastal,Viet Nam,14.975,108.825,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,7,441057
1446,An Hoa,Coastal,Viet Nam,14.425,108.925,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,441057
1413,Malacatan,Suchiate,Guatemala,14.925,-92.025,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771159
1419,Cantel Ii,Coastal,Guatemala,14.825,-91.475,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771159
1425,Na,Coastal,Guatemala,14.725,-92.025,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771159
1426,Coatepeque,Coastal,Guatemala,14.725,-91.925,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771159
1437,Caballo Blanco,Coastal,Guatemala,14.525,-91.875,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771159
1443,La Franja,Not found,Not found,14.425,-91.525,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,771159
1415,Na,Coastal,Philippines,14.925,120.725,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,8,524092
1418,Attopeu  Muong May,Mekong,Lao People's Democratic Republic,14.875,106.775,10500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,5,442402
1422,Bakel,Senegal,Mauritania,14.825,-12.375,218000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146370
1423,Alcongui,Niger,Niger,14.775,0.575,44900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142741
1430,Gorouol At Dolbel,Niger,Niger,14.625,0.275,7838.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142742
1431,Kandadji,Niger,Niger,14.625,0.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142739
1433,Sajbina,Not found,Not found,14.575,-91.125,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771157
1441,Alotenango Ii,Not found,Not found,14.475,-90.825,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771157
1444,Patulul,Not found,Not found,14.425,-91.175,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771157
1447,Puente Coyolate,Coastal,Guatemala,14.375,-91.125,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771157
1451,Cenizas Ii,Not found,Not found,14.275,-90.875,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771157
1452,El Carrizal,Not found,Not found,14.225,-91.125,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771157
1453,Pantaleon,Not found,Not found,14.225,-91.075,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771157
1434,Agua Caliente Ii,Not found,Not found,14.575,-89.275,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,771140
1448,Las Lechuzas,Lempa,Guatemala,14.375,-89.725,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771140
1450,Las Cruces,Lempa,Guatemala,14.325,-89.625,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771140
1435,Chennur,Pennar,India,14.575,78.825,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,453743
1438,Kabate,Senegal,Mali,14.525,-11.175,25000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146610
1440,San Miguel Moca,Coastal,Guatemala,14.475,-91.375,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771158
1442,Villa Canales,Not found,Not found,14.475,-90.525,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,771156
1454,Amatillo,Coastal,Guatemala,14.225,-90.725,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,12,771156
1459,Las Guacamayas Ii,Coastal,Guatemala,14.125,-90.625,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771156
1445,Kidira,Senegal,Senegal,14.425,-12.225,28900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146380
1487,Gourbassy,Senegal,Mali,13.375,-11.625,15000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146380
1519,Faleme A Fadougou Drague -Donnee Reconstituee-,Senegal,Senegal,12.525,-11.375,8262.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146380
1449,Kayes,Senegal,Mali,14.375,-11.375,157400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146700
1468,Galougo,Senegal,Mali,13.825,-11.025,127000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146700
1455,Plan De  Avila,Coastal,Guatemala,14.225,-90.325,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771154
1456,Quesada,Not found,Not found,14.225,-89.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,771152
1462,El Jobo,Paz,Guatemala,14.025,-89.925,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,771152
1457,Siramakana,Senegal,Mali,14.225,-9.025,58000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146950
1458,Wad El Hellewa,Nile,Sudan,14.225,35.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,172271
1460,Tilembeya,Niger,Mali,14.125,-4.975,143300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,142930
1465,Ke Macina,Niger,Mali,13.975,-5.375,141000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,142930
1472,Kirango Aval,Niger,Mali,13.725,-6.025,137000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,142930
1491,Tamani,Niger,Mali,13.325,-6.825,131500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,142930
