Point No,Station,Basin,Country,Lat,Lon,Upstream area,Forecast Date,max_EPS,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_level,Days_until_peak,pfaf_id
602,Szolnok,Danube,Hungary,47.125,20.175,75113.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227650
564,Dnepr Power Plant,Dniepr,Ukraine,47.875,35.075,463000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,225117
565,Long Lake Wa,Columbia,United States of America,47.825,-117.875,15592.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782640
574,Spokane Wa,Columbia,United States of America,47.675,-117.425,11111.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782640
575,Greenacres Wa,Columbia,United States of America,47.675,-117.175,10748.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782640
566,Fisher Mn,Nelson,United States of America,47.825,-96.825,14711.000,2026-03-02T00:00:00,2/-9999/-9999,2,-9999,-9999,0,11,712266
568,Crookston Mn,Nelson,United States of America,47.775,-96.625,13649.000,2026-03-02T00:00:00,2/-9999/-9999,2,-9999,-9999,0,11,712266
567,Csenger,Danube,Hungary,47.825,22.725,15283.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227695
572,Satu Mare,Danube,Romania,47.775,22.875,15385.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227695
569,A La Centrale Du Rapide Blanc,St. Lawrence,Canada,47.775,-72.975,22600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,725207
570,Near Grey River,Coastal,Canada,47.775,-56.925,1340.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,12,723090
571,Nagymaros,Danube,Hungary,47.775,18.925,183533.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227915
573,Dunaalmas,Danube,Hungary,47.725,18.325,171720.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227919
576,Near Poison Mt,Columbia,United States of America,47.675,-114.275,18379.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,782664
591,Perma Mt,Columbia,United States of America,47.375,-114.575,22779.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,782664
577,Near Sidney Mt,Mississippi,United States of America,47.675,-104.125,178925.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,742981
578,Neuhausen Flurlingerbruecke,Rhine,Switzerland,47.675,8.625,11887.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232690
584,Rekingen,Rhine,Switzerland,47.575,8.325,14718.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232690
579,Lenggries,Danube,Germany,47.675,11.575,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227992
580,Near Watford City Nd,Mississippi,United States of America,47.575,-103.275,21523.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,5,742978
637,Marmarth Nd,Mississippi,United States of America,46.325,-103.925,12018.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,5,742978
581,La Loire A Blois,Loire,France,47.575,1.325,38320.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232270
586,Untersiggenthal Stilli,Rhine,Switzerland,47.525,8.225,17601.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232680
588,Brugg,Rhine,Switzerland,47.475,8.175,11726.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232680
597,Murgenthal,Rhine,Switzerland,47.275,7.825,10119.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232680
587,Razdorskaya,Don,Russian Federation,47.525,40.625,378000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,6,223300
590,Near Cooperstown Nd,Nelson,United States of America,47.425,-98.025,16757.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,712269
608,Valley City Nd,Nelson,United States of America,46.925,-98.025,20228.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,12,712269
611,West Fargo Nd,Nelson,United States of America,46.875,-96.925,22973.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,712269
622,Near Kindred Nd,Nelson,United States of America,46.625,-96.975,22792.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,712269
632,Lisbon Nd,Nelson,United States of America,46.425,-97.675,21212.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,712269
592,Below Rock Island Dam Wa,Columbia,United States of America,47.325,-120.075,231546.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,782615
593,St  Regis Mt,Columbia,United States of America,47.325,-115.075,27736.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,782665
609,Below Missoula Mt,Columbia,United States of America,46.875,-114.125,23318.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,782665
594,Halstad Mn,Nelson,United States of America,47.325,-96.825,56462.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,712267
595,Fort Kent,Saint John,Canada,47.275,-68.575,14700.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,726087
605,Grand Falls,Saint John,Canada,47.025,-67.725,21900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,726087
596,La Loire A Saumur,Loire,France,47.275,-0.025,81200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232230
598,Near Montreal River Harbour,St. Lawrence,Canada,47.225,-84.575,2880.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,9,725912
599,Au Barrage Cabonga,St. Lawrence,Canada,47.225,-76.375,2620.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,725440
600,La Loire  Totale  A Nantes  Saint Felix,Loire,France,47.225,-1.525,111570.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232210
601,La La Tete De La Chute Rascas,St. Lawrence,Canada,47.125,-75.125,1050.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,725420
663,Lievre  Riviere Du,St. Lawrence,Canada,45.725,-75.525,9350.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,725420
603,Nouatre,Loire,France,47.075,0.525,19920.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232240
604,La Saone A Pagny La Ville  Lechatelet,Rhone,France,47.075,5.125,11673.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,216028
606,Mosby Mt,Mississippi,United States of America,46.975,-107.875,20321.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,6,742996
631,Near Roundup Mt,Mississippi,United States of America,46.425,-108.575,10420.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,742996
607,La Loire A Nevers,Loire,France,46.975,3.175,17570.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,232290
610,Above Missoula Mt,Columbia,United States of America,46.875,-113.925,15537.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,782667
612,Fargo Nd,Nelson,United States of America,46.875,-96.775,17612.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,712268
618,Hickson Nd,Nelson,United States of America,46.675,-96.775,11137.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,712268
638,Wahpeton Nd,Nelson,United States of America,46.325,-96.575,10386.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,712268
613,Near Beverly Wa,Columbia,United States of America,46.825,-119.825,12536.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782614
614,Bismarck Nd,Mississippi,United States of America,46.825,-100.825,482776.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742977
616,Kakhovskoye Vodokhranilishche Ges,Dniepr,Ukraine,46.775,33.175,482000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,225113
617,Dragesti,Danube,Romania,46.725,26.925,11899.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227209
619,Gornja Radgona 1,Danube,Austria,46.675,15.975,10197.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227804
621,Below Priest Rapids Dam Wa,Columbia,United States of America,46.625,-119.875,248640.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782613
623,Na,Danube,Romania,46.625,28.225,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227108
624,Aitkin Mn,Mississippi,United States of America,46.575,-93.725,15903.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,742897
625,Centrale De Grande Mere,St.Lawrence,Canada,46.575,-72.675,42000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,725201
626,L Allier A Moulins,Loire,France,46.525,3.325,12980.000,2026-03-02T00:00:00,3/-9999/-9999,3,-9999,-9999,0,1,232280
627,Orofino Id,Columbia,United States of America,46.475,-116.275,14452.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,782706
630,Spalding Id,Columbia,United States of America,46.425,-116.825,24786.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,782706
628,Sault Ste  Marie,St.Lawrence,Canada,46.475,-84.325,210000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,725911
629,Near East Florenceville,Saint John,Canada,46.475,-67.575,34200.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,726083
652,Below Mactaquac,Saint John,Canada,45.975,-66.825,39900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,10,726083
633,Miles City Mt,Mississippi,United States of America,46.375,-105.825,13932.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742984
634,Breien Nd,Mississippi,United States of America,46.375,-100.925,10619.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742976
635,La Cave Rapids,St.Lawrence,Canada,46.375,-78.725,47900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,12,725477
644,At Des Joachims,St. Lawrence,Canada,46.175,-77.675,57500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,725477
636,Borl React  6546801,Danube,Slovenia,46.375,15.975,14662.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227805
639,Kiona Wa,Columbia,United States of America,46.275,-119.475,14543.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,782612
640,Szeged,Danube,Hungary,46.275,20.175,138408.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227610
653,Senta,Danube,Serbia,45.975,20.075,140130.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227610
641,Below Ice Harbor Dam Wa,Columbia,United States of America,46.225,-118.925,281015.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782701
642,Mako,Danube,Hungary,46.225,20.475,30149.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227621
643,Beaver Army Terminal Near Quincy Or,Columbia,United States of America,46.175,-123.175,665371.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782100
645,Arad,Danube,Romania,46.175,21.325,27280.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227623
646,Toston Mt,Mississippi,United States of America,46.125,-111.425,37993.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,742999
654,Near Three Forks Mt,Mississippi,United States of America,45.925,-111.575,24688.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742999
667,Near Twin Bridges Mt,Mississippi,United States of America,45.625,-112.325,19767.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,742999
647,Above Tullock Creek Near Bighorn Mt,Mississippi,United States of America,46.125,-107.475,58052.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,742987
648,Chancy Aux Ripes,Rhone,France,46.125,5.975,10323.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,216026
655,Sault Brenaz,Rhone,France,45.875,5.375,15380.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,216026
661,Le Rhone A Lyon  Perrache,Rhone,France,45.775,4.925,20300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,216026
649,Near Anatone Wa,Columbia,United States of America,46.075,-116.975,240766.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782709
650,Mohacs,Danube,Hungary,46.025,18.675,209064.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227911
658,Bezdan,Danube,Serbia,45.825,18.875,210245.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227911
651,Alba Iulia,Danube,Romania,46.025,23.575,18055.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227625
656,Catez I,Danube,Slovenia,45.875,15.625,10186.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227409
657,La Saone A Couzon Au Mont D Or,Rhone,France,45.825,4.825,29908.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,216027
659,White Bird Id,Columbia,United States of America,45.775,-116.325,35094.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,782801
660,Billings Mt,Mississippi,United States of America,45.775,-108.475,30575.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,742986
662,Lavello,Po,Italy,45.775,9.425,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,214064
664,Little Eagle Sd,Mississippi,United States of America,45.675,-100.775,13908.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742974
665,Miorina,Po,Italy,45.675,8.625,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,214066
683,Na,Po,Italy,45.325,8.875,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,214066
666,The Dalles Or,Columbia,United States of America,45.625,-121.175,613830.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782300
669,Moody Near Biggs Or,Columbia,United States of America,45.575,-120.925,27195.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,782300
668,Columbia Sd,Mississippi,United States of America,45.625,-98.325,15170.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742954
694,Ashton Sd,Mississippi,United States of America,45.025,-98.475,25232.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742954
737,Near Forestburg Sd,Mississippi,United States of America,43.975,-98.075,45558.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742954
757,Near Scotland Sd,Mississippi,United States of America,43.225,-97.675,53491.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742954
670,Mcdonald Ferry Oreg,Columbia,United States of America,45.575,-120.425,19632.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782502
712,Service Creek Or,Columbia,United States of America,44.775,-120.025,13183.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,5,782502
671,Au Barrage De Carillon,St.Lawrence,Canada,45.575,-74.375,143000.000,2026-03-02T00:00:00,15/2/-9999,15,2,-9999,0,12,725410
672,Lungoci,Danube,Romania,45.575,27.525,36030.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227203
673,Portland Or,Columbia,United States of America,45.525,-122.675,29008.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782200
704,Salem Or,Columbia,United States of America,44.925,-123.075,18855.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782200
674,Bogojevo,Danube,Serbia,45.525,19.075,251593.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227700
675,Chats Falls,St.Lawrence,Canada,45.475,-76.275,89600.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,725450
678,At Britannia,St.Lawrence,Canada,45.375,-75.825,90900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,725450
676,St  Croix Falls Wi,Mississippi,United States of America,45.425,-92.625,16162.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,742878
677,Lasalle,St.Lawrence,Canada,45.425,-73.625,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,725309
679,Rapides Fryers,St.Lawrence,Canada,45.375,-73.225,22000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,725306
680,Cornet,Danube,Romania,45.375,24.275,13733.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227360
681,Near Shoup Id,Columbia,United States of America,45.325,-114.425,16239.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,782805
682,Near Mcallister Wi,St.Lawrence,United States of America,45.325,-87.675,10179.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,11,725824
684,Hells Canyon Dam Id Or State Line,Columbia,United States of America,45.275,-116.675,189847.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782910
731,Weiser Id,Columbia,United States of America,44.225,-117.025,179228.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782910
685,Near Whitehorse Sd,Mississippi,United States of America,45.275,-100.875,12639.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742972
686,West Enfield Me,Penobscot,United States of America,45.225,-68.675,16633.000,2026-03-02T00:00:00,5/2/-9999,5,2,-9999,0,14,731120
710,Eddington Me,Penobscot,United States of America,44.825,-68.675,19464.000,2026-03-02T00:00:00,3/-9999/-9999,3,-9999,-9999,0,14,731120
687,Ceatal Izmail,Danube,Romania,45.225,28.725,807000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227105
688,Tikhovsky,Kuban,Russian Federation,45.175,38.225,48100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,222023
698,Krasnodar,Kuban,Russian Federation,45.025,38.975,45900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,222023
689,Na,Po,Italy,45.125,8.425,,2026-03-02T00:00:00,2/-9999/-9999,2,-9999,-9999,0,1,214069
690,Na,Po,Italy,45.125,9.225,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,214067
691,Boara Pisani,Po,Italy,45.125,11.775,11954.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,214040
692,Piacenza,Po,Italy,45.075,9.725,42030.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,214065
693,Na,Danube,Bosnia and Herzegovina,45.075,18.625,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227403
695,Cornwall Ont Near Massena N Y,St.Lawrence,United States of America,45.025,-74.675,773892.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,725510
696,L Isere A Beaumont Monteux,Rhone,France,45.025,4.975,11800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,216024
697,Na,Po,Italy,45.025,10.125,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,214063
700,Na,Po,Italy,44.975,10.675,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,214063
707,Boretto,Po,Italy,44.925,10.575,55183.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,214063
699,Montevideo Mn,Mississippi,United States of America,44.975,-95.775,16006.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742886
701,Na,Danube,Bosnia and Herzegovina,44.975,18.225,,2026-03-02T00:00:00,2/2/2,2,2,2,0,1,227404
702,Na,Danube,Serbia,44.975,19.425,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227401
703,Sremska Mitrovica,Danube,Serbia,44.975,19.625,87966.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227401
718,Na,Danube,Serbia,44.675,20.025,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227401
705,St Paul Mn,Mississippi,United States of America,44.925,-93.125,95312.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,742879
706,Chippewa Falls Wi,Mississippi,United States of America,44.925,-91.425,14634.000,2026-03-02T00:00:00,2/-9999/-9999,2,-9999,-9999,0,10,742876
717,Durand Wi,Mississippi,United States of America,44.675,-91.975,23336.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,10,742876
708,Rothschild Wi,Mississippi,United States of America,44.875,-89.625,10412.000,2026-03-02T00:00:00,11/-9999/-9999,11,-9999,-9999,0,10,742874
729,Wisconsin Rapids Wi,Mississippi,United States of America,44.375,-89.875,14038.000,2026-03-02T00:00:00,13/-9999/-9999,13,-9999,-9999,0,10,742874
749,Wisconsin Dells Wi,Mississippi,United States of America,43.575,-89.725,20953.000,2026-03-02T00:00:00,11/-9999/-9999,11,-9999,-9999,0,12,742874
758,Muscoda   Wi,Mississippi,United States of America,43.225,-90.375,26936.000,2026-03-02T00:00:00,9/-9999/-9999,9,-9999,-9999,0,13,742874
709,Pontelagoscuro,Po,Italy,44.875,11.625,70091.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,214061
711,Bazias,Danube,Romania,44.825,21.375,570896.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227379
715,Orsova  1971 Drobata Turnu Severin,Danube,Serbia,44.725,22.425,576232.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227379
713,Kane Wy,Mississippi,United States of America,44.775,-108.175,40824.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,742989
750,Below Boysen Reservoire Wy,Mississippi,United States of America,43.475,-108.175,19946.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,5,742989
714,Near Madras Or,Columbia,United States of America,44.725,-121.225,20254.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,782400
724,Below Opal Springs Near Culver Or,Columbia,United States of America,44.475,-121.275,11137.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,782400
716,Near Fruitdale Sd,Mississippi,United States of America,44.675,-103.775,11759.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,14,742964
728,Near Elm Springs,Mississippi,United States of America,44.375,-102.525,18674.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,7,742964
719,Near Jordan Mn,Mississippi,United States of America,44.625,-93.775,41958.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,13,742881
720,Na,Po,Italy,44.625,11.825,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,214080
721,Harsova,Danube,Romania,44.625,27.925,709100.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227320
722,Lubicevsky Most,Danube,Serbia,44.575,21.125,34345.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,227381
723,Near Plainview Sd,Mississippi,United States of America,44.525,-101.925,56048.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,742963
725,North Sidney Me,Coastal,United States of America,44.475,-69.675,13994.000,2026-03-02T00:00:00,2/2/-9999,2,2,-9999,0,12,731140
726,Le Rhone A Viviers,Rhone,France,44.475,4.675,70900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,216023
727,La Garonne A Tonneins,Garonne,France,44.425,0.275,51500.000,2026-03-02T00:00:00,7/2/-9999,7,2,-9999,0,1,232141
730,Rapid Croche Dam Near Wrightstown Wis,St.Lawrence,United States of America,44.325,-88.225,15566.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,725827
732,Near Brookings Sd,Mississippi,United States of America,44.175,-96.725,10096.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,742952
767,Akron Ia,Mississippi,United States of America,42.825,-96.575,21818.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,10,742952
733,Novo Selo,Danube,Romania,44.125,22.825,584900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,227377
742,Lom,Danube,Romania,43.825,23.275,588860.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,3,227377
734,Silistra,Danube,Romania,44.125,27.275,689700.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,227330
735,Near Wasta Sd,Mississippi,United States of America,44.075,-102.375,33152.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,742965
755,Edgemont Sd,Mississippi,United States of America,43.325,-103.875,18500.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,742965
736,Tyumen Aryk,Aral Sea,Kazakhstan,44.025,67.025,219000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,462137
738,Nyssa Or,Columbia,United States of America,43.875,-116.975,152033.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,782930
739,La Garonne A Verdun Sur Garonne,Garonne,France,43.875,1.225,13730.000,2026-03-02T00:00:00,2/2/-9999,2,2,-9999,0,1,232144
740,Ruse,Danube,Romania,43.875,25.975,669900.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,4,227350
