pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,Alert,Flag
731300,13643.0,8029.856401,USA,United States,Connecticut,0.397416447,0.426075357,0.77,0.32,Advisory,
731401,13644.0,4171.129732,USA,United States,New York,0.441626568,0.0,0.77,0.32,Information,
731402,13645.0,3189.008436,USA,United States,New York,0.312491444,0.0,0.77,0.32,Information,
731403,13646.0,6375.123291,USA,United States,New York,0.333537904,0.0,0.77,0.32,Information,
731404,13647.0,9037.991312,USA,United States,New York,0.510530891,0.0,0.77,0.32,Information,
731405,13648.0,396.639782,USA,United States,New York,0.13235667,0.0,0.77,0.32,Advisory,
731406,13649.0,1857.851829,USA,United States,Vermont,0.114115742,0.0,0.77,0.32,Information,
731407,13650.0,2818.639246,USA,United States,New York,0.803410095,0.0,0.77,0.32,Information,
731501,13653.0,534.8605704,USA,United States,New Jersey,0.582602574,1.007413898,0.77,0.32,Information,
731502,13654.0,2451.358787,USA,United States,New Jersey,0.246821157,0.0,0.77,0.32,Information,
731503,13655.0,587.0967872,USA,United States,New Jersey,0.333985938,0.177305918,0.77,0.32,Information,
731504,13656.0,2842.206244,USA,United States,New Jersey,0.161610649,0.0,0.77,0.32,Information,
731506,13657.0,28649.67245,USA,United States,Pennsylvania,0.270251042,0.0,0.77,0.32,Information,
731508,13658.0,1840.711027,USA,United States,Delaware,0.000960872,0.0,0.77,0.32,Information,
731601,13659.0,11271.68457,USA,United States,Pennsylvania,0.079181813,0.0,0.77,0.32,Information,
731602,13660.0,8814.259377,USA,United States,Pennsylvania,0.76674212,0.0,0.77,0.32,Information,
731603,13661.0,3756.828258,USA,United States,Pennsylvania,0.237990043,0.0,0.77,0.32,Information,
731604,13662.0,18075.67038,USA,United States,Pennsylvania,0.650631806,0.0,0.77,0.32,Information,
731605,13663.0,9856.473842,USA,United States,Pennsylvania,0.422626977,0.0,0.77,0.32,Information,
731606,13664.0,6674.155304,USA,United States,New York,1.175589318,0.0,0.77,0.32,Information,
731607,13665.0,2652.805725,USA,United States,New York,1.469254885,0.0,0.77,0.32,Information,
731608,13666.0,4109.352457,USA,United States,New York,1.043599368,0.0,0.77,0.32,Information,
