,pfaf_id,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area
270,115719,4.188,0.018,2.5,0.011,0.0,0.0,0.0,0.0
271,115720,1.062,0.698,1.0,0.657,0.0,0.0,0.0,0.0
272,115730,0.0,0.0,0.0,0.0,0.125,0.001,0.0,0.0
273,115740,0.125,0.003,0.125,0.003,0.0,0.0,0.0,0.0
274,115750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,115801,11.062,0.086,5.0,0.039,1.375,0.011,0.0,0.0
276,115802,0.625,0.009,0.562,0.008,7.875,0.11,0.062,0.001
277,115803,1.062,0.006,0.5,0.003,0.125,0.001,0.0,0.0
278,115804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,115805,0.0,0.0,0.0,0.0,0.625,0.027,0.0,0.0
280,115806,0.0,0.0,0.0,0.0,0.312,0.007,0.0,0.0
281,115807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,115808,0.0,0.0,0.0,0.0,0.125,0.002,0.0,0.0
283,115809,0.562,0.01,0.438,0.007,0.0,0.0,0.0,0.0
284,115900,0.0,0.0,0.0,0.0,1.375,0.008,0.0,0.0
285,116001,2.188,0.073,1.625,0.054,0.0,0.0,0.0,0.0
286,116002,1.312,0.004,0.5,0.002,1.0,0.003,0.062,0.0
287,116003,0.25,0.009,0.25,0.009,0.0,0.0,0.0,0.0
288,116004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,116005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,116006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,116007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,116008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,116009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,117000,172.25,1.957,30.5,0.346,0.875,0.01,0.0,0.0
295,117100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,117101,0.312,0.113,0.188,0.068,0.062,0.023,0.0,0.0
297,117102,199.0,1.844,94.688,0.877,1.75,0.016,0.0,0.0
298,117103,0.688,0.467,0.625,0.425,0.0,0.0,0.0,0.0
299,117104,258.938,2.302,109.188,0.971,5.812,0.052,0.0,0.0
300,117105,97.062,1.254,43.188,0.558,4.75,0.061,0.062,0.001
301,117106,215.875,3.753,79.5,1.382,3.625,0.063,0.0,0.0
302,117107,1.375,0.305,1.375,0.305,0.0,0.0,0.062,0.014
303,117108,496.188,5.052,168.0,1.71,3.188,0.032,0.188,0.002
304,117109,59.0,1.847,23.5,0.736,0.625,0.02,0.0,0.0
305,117201,51.5,2.487,18.75,0.906,0.25,0.012,0.0,0.0
306,117202,359.938,4.601,95.125,1.216,4.375,0.056,0.125,0.002
307,117203,396.062,8.18,128.25,2.649,6.562,0.136,0.0,0.0
308,117204,644.0,4.968,143.5,1.107,13.062,0.101,0.062,0.0
309,117205,355.875,5.685,117.312,1.874,0.812,0.013,0.0,0.0
310,117206,440.812,3.283,102.438,0.763,3.375,0.025,0.062,0.0
311,117207,60.625,3.148,17.25,0.896,0.062,0.003,0.0,0.0
312,117208,217.875,3.88,50.938,0.907,0.062,0.001,0.0,0.0
313,117209,671.625,1.657,188.75,0.466,23.25,0.057,0.062,0.0
314,117300,77.938,2.647,60.312,2.049,2.875,0.098,0.25,0.008
315,117310,6.062,0.408,6.062,0.408,0.188,0.013,0.125,0.008
316,117320,0.812,0.01,0.812,0.01,0.0,0.0,0.0,0.0
317,117321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,117322,81.812,2.766,46.188,1.562,0.438,0.015,0.0,0.0
319,117323,39.125,1.003,14.562,0.373,0.125,0.003,0.0,0.0
320,117324,174.625,2.411,85.25,1.177,4.125,0.057,0.125,0.002
